method,scenario,metric,direction,mean_stress_minus_baseline,bootstrap_ci95_low,bootstrap_ci95_high,paired_runs,bootstrap_resamples
product_cij_leiden,gps_noise_100m,fake_absorption_rate_all,lower,0.0,0.0,0.0,40,5000
product_cij_leiden,gps_noise_100m,fake_rejection_rate_all,descriptive,0.0,0.0,0.0,40,5000
product_cij_leiden,gps_noise_100m,genuine_rejection_rate_all,lower,0.0,0.0,0.0,40,5000
product_cij_leiden,gps_noise_100m,false_destination_rate_all,lower,-0.18701625386996906,-0.6286917892156864,0.16335381191950457,40,5000
product_cij_leiden,gps_noise_100m,retained_edge_fraction,descriptive,0.00023531968978287958,0.00017963607484665172,0.00029200519546000356,40,5000
product_cij_leiden,gps_noise_100m,mean_degree,descriptive,0.07687595895792612,0.058635923352730636,0.09579681723036651,40,5000
product_cij_leiden,gps_noise_300m,ari_original,higher,-0.12530345392950548,-0.1460647976357247,-0.10589517448281624,40,5000
product_cij_leiden,gps_noise_300m,pair_f1_original,higher,-0.11530424079255257,-0.13400339245476775,-0.09727644257469488,40,5000
product_cij_leiden,gps_noise_300m,ari_all,higher,-0.12530345392950548,-0.14590404977994123,-0.10557887964458217,40,5000
product_cij_leiden,gps_noise_300m,pair_f1_all,higher,-0.11530424079255257,-0.13359646573034706,-0.09740288305262573,40,5000
product_cij_leiden,gps_noise_300m,fake_absorption_rate_all,lower,0.0,0.0,0.0,40,5000
product_cij_leiden,gps_noise_300m,fake_rejection_rate_all,descriptive,0.0,0.0,0.0,40,5000
product_cij_leiden,gps_noise_300m,genuine_rejection_rate_all,lower,0.0,0.0,0.0,40,5000
product_cij_leiden,gps_noise_300m,false_destination_rate_all,lower,1.760715656032993,0.8372449346641485,2.5621449545573953,40,5000
product_cij_leiden,gps_noise_300m,retained_edge_fraction,descriptive,0.0006285281433211852,0.0005041369029605889,0.0007467381343728078,40,5000
product_cij_leiden,gps_noise_300m,mean_degree,descriptive,0.20690044689872344,0.16464544638912956,0.24915966681199944,40,5000
product_cij_leiden,time_noise_15min,ari_original,higher,-0.0314809733699017,-0.0452968858750483,-0.01869680669262505,40,5000
product_cij_leiden,time_noise_15min,pair_f1_original,higher,-0.02906417029364049,-0.04188915442014258,-0.017861942288953873,40,5000
product_cij_leiden,time_noise_15min,ari_all,higher,-0.0314809733699017,-0.045738240307047345,-0.01916406157232626,40,5000
product_cij_leiden,time_noise_15min,pair_f1_all,higher,-0.02906417029364049,-0.04178837675047042,-0.017493066170068593,40,5000
product_cij_leiden,time_noise_15min,fake_absorption_rate_all,lower,0.0,0.0,0.0,40,5000
product_cij_leiden,time_noise_15min,fake_rejection_rate_all,descriptive,0.0,0.0,0.0,40,5000
product_cij_leiden,time_noise_15min,genuine_rejection_rate_all,lower,0.0,0.0,0.0,40,5000
product_cij_leiden,time_noise_15min,false_destination_rate_all,lower,0.602220932232542,-0.02205909227726181,1.237722523219814,40,5000
product_cij_leiden,time_noise_15min,retained_edge_fraction,descriptive,6.496455640454917e-05,-3.274889470822035e-05,0.00015401908356559485,40,5000
product_cij_leiden,time_noise_15min,mean_degree,descriptive,0.021596368545867283,-0.01175801653357992,0.05065403298149133,40,5000
product_cij_leiden,time_noise_60min,ari_original,higher,-0.156056884444348,-0.17648888816429398,-0.13595979636483443,40,5000
product_cij_leiden,time_noise_60min,pair_f1_original,higher,-0.14410832557233721,-0.16244217704581645,-0.12515411104317672,40,5000
product_cij_leiden,time_noise_60min,ari_all,higher,-0.156056884444348,-0.1767983008821968,-0.13580623716353152,40,5000
product_cij_leiden,time_noise_60min,pair_f1_all,higher,-0.14410832557233721,-0.1627214105046255,-0.12549733598199295,40,5000
product_cij_leiden,time_noise_60min,fake_absorption_rate_all,lower,0.0,0.0,0.0,40,5000
product_cij_leiden,time_noise_60min,fake_rejection_rate_all,descriptive,0.0,0.0,0.0,40,5000
product_cij_leiden,time_noise_60min,genuine_rejection_rate_all,lower,0.0,0.0,0.0,40,5000
product_cij_leiden,time_noise_60min,false_destination_rate_all,lower,2.6194082727557957,2.016280552791291,3.2664466714486062,40,5000
product_cij_leiden,time_noise_60min,retained_edge_fraction,descriptive,-0.00018984335399854823,-0.00033654711227985585,-3.974965867353544e-05,40,5000
product_cij_leiden,time_noise_60min,mean_degree,descriptive,-0.06270726869158558,-0.11169858350524228,-0.013475707402922733,40,5000
product_cij_leiden,exact_transport_copy_2x,ari_original,higher,0.012419334568109865,0.0016880268545889606,0.02369355827232094,40,5000
